url,published,rent,size,district,female_inhabitants,male_inhabitants,diverse_inhabitants,total_inhabitants
wg-zimmer-in-Berlin-Prenzlauer-Berg.6103697.html,2025-08-16T00:00:00,550,16,Prenzlauer Berg,1,0,0,2
wg-zimmer-in-Berlin-Prenzlauer-Berg.9961003.html,2025-08-16T00:00:00,999,20,Prenzlauer Berg,1,1,0,4
wg-zimmer-in-Berlin-Prenzlauer-Berg.12248079.html,2025-08-16T00:00:00,650,20,Prenzlauer Berg,0,1,0,2
wg-zimmer-in-Berlin-Friedrichshain.12230915.html,2025-08-15T00:00:00,750,16,Friedrichshain,0,1,0,2
wg-zimmer-in-Berlin-Kreuzberg.12158342.html,2025-07-14T00:00:00,900,20,Kreuzberg,1,0,0,2
wg-zimmer-in-Berlin-Prenzlauer-Berg.12141264.html,2025-07-14T00:00:00,480,20,Prenzlauer Berg,2,0,0,3
wg-zimmer-in-Berlin-Lichterfelde-West.12173579.html,2025-07-25T00:00:00,550,20,Lichterfelde West,2,3,0,6
wg-zimmer-in-Berlin-Gesundbrunnen.12174585.html,2025-08-15T00:00:00,250,20,Gesundbrunnen,0,1,0,2
wg-zimmer-in-Berlin-Wedding.10876636.html,2025-07-28T00:00:00,600,35,Wedding,1,1,0,3
wg-zimmer-in-Berlin-Friedrichshain.12244590.html,2025-08-14T00:00:00,434,9,Friedrichshain,2,2,1,6
wg-zimmer-in-Berlin-Kreuzberg.11388520.html,2025-08-02T00:00:00,690,15,Kreuzberg,1,0,0,2
wg-zimmer-in-Berlin-Lichtenberg.12212257.html,2025-08-10T00:00:00,790,16,Lichtenberg,0,2,0,3
wg-zimmer-in-Berlin-Kreuzberg.12213349.html,2025-08-03T00:00:00,500,11,Kreuzberg,1,1,0,3
wg-zimmer-in-Berlin-Charlottenburg.12179967.html,2025-07-29T00:00:00,590,20,Charlottenburg,0,2,0,3
wg-zimmer-in-Berlin-Kreuzberg.12194116.html,2025-07-27T00:00:00,530,11,Kreuzberg,1,2,0,4
wg-zimmer-in-Berlin-Charlottenburg.11358477.html,2025-07-29T00:00:00,460,25,Charlottenburg,1,1,0,3
wg-zimmer-in-Berlin-Wilmersdorf.12081656.html,2025-07-18T00:00:00,540,25,Wilmersdorf,2,0,0,3
wg-zimmer-in-Berlin-Steglitz.9054055.html,2025-07-17T00:00:00,670,15,Steglitz,0,1,0,2
wg-zimmer-in-Berlin-Friedrichshain.10874126.html,2025-08-13T00:00:00,800,14,Friedrichshain,2,0,0,3
wg-zimmer-in-Berlin-Reinickendorf.10824035.html,2025-08-16T00:00:00,380,21,Reinickendorf,0,3,0,4
wg-zimmer-in-Berlin-Gesundbrunnen.12167185.html,2025-07-17T00:00:00,550,15,Gesundbrunnen,1,0,0,2
wg-zimmer-in-Berlin-Friedrichshain.8035815.html,2025-08-14T00:00:00,498,17,Friedrichshain,1,0,0,2
wg-zimmer-in-Berlin-Tegel.12191577.html,2025-08-15T00:00:00,500,18,Tegel,1,0,0,4
wg-zimmer-in-Berlin-Neukoelln.12235563.html,2025-08-11T00:00:00,410,18,Neukölln,0,1,0,2
wg-zimmer-in-Berlin-Moabit.12180747.html,2025-07-22T00:00:00,640,15,Moabit,2,1,0,4
wg-zimmer-in-Berlin-Berlin.12129577.html,2025-07-03T00:00:00,400,7,Berlin,0,2,0,4
wg-zimmer-in-Berlin-Steglitz.4487212.html,2025-06-28T00:00:00,510,17,Steglitz,0,1,0,2
wg-zimmer-in-Berlin-Charlottenburg.9323339.html,2025-08-10T00:00:00,480,10,Charlottenburg,1,1,0,3
wg-zimmer-in-Berlin-Gesundbrunnen.12198754.html,2025-07-29T00:00:00,750,18,Gesundbrunnen,1,1,0,3
wg-zimmer-in-Berlin-Marienfelde.9658003.html,2025-08-16T00:00:00,580,21,Marienfelde,1,0,0,2
wg-zimmer-in-Berlin-Schoeneberg.12237819.html,2025-08-15T00:00:00,630,18,Schöneberg,2,0,0,3
wg-zimmer-in-Berlin-Prenzlauer-Berg.12131673.html,2025-07-04T00:00:00,840,30,Prenzlauer Berg,1,2,0,4
wg-zimmer-in-Berlin-Steglitz.8148132.html,2025-08-15T00:00:00,648,14,Steglitz,0,3,0,4
wg-zimmer-in-Berlin-Mitte.12240115.html,2025-08-13T00:00:00,1185,25,Mitte,0,0,0,1
wg-zimmer-in-Berlin-Steglitz.8870682.html,2025-06-25T00:00:00,700,20,Steglitz,1,1,0,3
wg-zimmer-in-Berlin-Charlottenburg-Wilmersdorf.12080280.html,2025-06-10T00:00:00,500,10,Charlottenburg-Wilmersdorf,0,2,0,3
wg-zimmer-in-Berlin-Prenzlauer-Berg.12158371.html,2025-07-21T00:00:00,850,20,Prenzlauer Berg,1,0,0,2
wg-zimmer-in-Berlin-Friedrichshain-Kreuzberg.12217640.html,2025-08-12T00:00:00,875,18,Friedrichshain-Kreuzberg,0,1,0,2
wg-zimmer-in-Berlin-Prenzlauer-Berg-Pankow.3243566.html,2025-08-14T00:00:00,400,20,Prenzlauer Berg / Pankow,0,1,0,2
wg-zimmer-in-Berlin-Kreuzberg.12132083.html,2025-07-04T00:00:00,1500,33,Kreuzberg,1,0,0,2
wg-zimmer-in-Berlin-Friedrichshain.10901528.html,2025-07-17T00:00:00,30,21,Friedrichshain,1,0,0,2
wg-zimmer-in-Berlin-Berlin.12222730.html,2025-08-06T00:00:00,715,25,Berlin,0,1,0,2
wg-zimmer-in-Berlin-Tempelhof-Schoeneberg.12223829.html,2025-08-07T00:00:00,700,27,Tempelhof-Schöneberg,0,2,0,3
wg-zimmer-in-Berlin-Spandau.11739473.html,2025-08-07T00:00:00,562,25,Spandau,1,0,0,2
wg-zimmer-in-Berlin-Tempelhof.10787020.html,2025-08-16T00:00:00,770,30,Tempelhof,0,1,0,2
wg-zimmer-in-Berlin-Charlottenburg.7575059.html,2025-07-13T00:00:00,675,12,Charlottenburg,1,0,0,2
wg-zimmer-in-Berlin-Moabit.12214785.html,2025-08-05T00:00:00,730,28,Moabit,0,2,0,3
wg-zimmer-in-Berlin-Wedding.12218537.html,2025-08-12T00:00:00,600,10,Wedding,1,0,0,2
wg-zimmer-in-Berlin-Steglitz.12172778.html,2025-08-16T00:00:00,601,12,Steglitz,4,3,0,9
wg-zimmer-in-Berlin-Zehlendorf.12241072.html,2025-08-13T00:00:00,650,22,Zehlendorf,0,1,0,2
wg-zimmer-in-Berlin-Wilmersdorf.12217425.html,2025-08-05T00:00:00,600,24,Wilmersdorf,0,1,0,2
wg-zimmer-in-Berlin-Berlin-Moabit.12150517.html,2025-07-17T00:00:00,630,17,Moabit,1,0,0,2
wg-zimmer-in-Berlin-Spandau.12219803.html,2025-08-05T00:00:00,800,23,Spandau,2,1,0,5
wg-zimmer-in-Berlin-Treptow.10909760.html,2025-08-09T00:00:00,600,30,Treptow,1,0,0,2
wg-zimmer-in-Berlin-Charlottenburg-Wilmersdorf.11929501.html,2025-07-20T00:00:00,910,15,Charlottenburg-Wilmersdorf,1,0,0,2
wg-zimmer-in-Berlin-Prenzlauer-Berg.10784996.html,2025-08-16T00:00:00,820,18,Prenzlauer Berg,1,3,0,5
wg-zimmer-in-Berlin-Neukoelln.12165482.html,2025-08-15T00:00:00,690,16,Neukölln,2,0,1,5
wg-zimmer-in-Berlin-Wedding.12166180.html,2025-07-16T00:00:00,450,8,Wedding,0,2,0,3
wg-zimmer-in-Berlin-Tiergarten.3490782.html,2025-08-16T00:00:00,500,12,Tiergarten,0,4,0,5
wg-zimmer-in-Berlin-Schoeneberg.7782996.html,2025-08-15T00:00:00,400,20,Schöneberg,1,1,0,3
wg-zimmer-in-Berlin-Neukoelln.5373875.html,2025-08-12T00:00:00,700,17,Neukölln,0,1,0,2
wg-zimmer-in-Berlin-Charlottenburg.5903744.html,2025-08-12T00:00:00,600,12,Charlottenburg,1,0,0,2
wg-zimmer-in-Berlin-Kreuzberg.7908056.html,2025-08-04T00:00:00,800,15,Kreuzberg,1,0,0,2
wg-zimmer-in-Berlin-Charlottenburg-Wilmersdorf.6584037.html,2025-08-11T00:00:00,705,19,Charlottenburg-Wilmersdorf,0,2,0,3
wg-zimmer-in-Berlin-Spandau.12249181.html,2025-08-16T00:00:00,650,17,Spandau,0,0,0,3
wg-zimmer-in-Berlin-Rahnsdorf.10056877.html,2025-07-28T00:00:00,490,17,Rahnsdorf,1,0,0,2
wg-zimmer-in-Berlin-Wedding.9643333.html,2025-07-16T00:00:00,400,20,Wedding,0,2,0,3
